model,variant,split,accuracy,macro_f1
ZeroShot-LICL,ZS,test_clean,0.7891111111111111,0.7231438350876834
ZeroShot-LICL,ZS,test_noisy,0.7431111111111111,0.6808314882072088
ZeroShot-LICL,ZS,test_polluted,0.7314545454545455,0.7425027892413889
TFIDF+LR,tfidf+lr,val_clean,0.896,0.8954609403437211
TFIDF+LR,tfidf+lr,val_polluted,0.8670967741935484,0.8760843440784228
TFIDF+LR,tfidf+lr,test_clean,0.9,0.8990293278255069
TFIDF+LR,tfidf+lr,test_noisy,0.8362222222222222,0.8360588056470281
TFIDF+LR,tfidf+lr,test_polluted,0.7363636363636363,0.8147001314022916
BERT-Linear,bert-linear,val_clean,0.952,0.9517877558193456
BERT-Linear,bert-linear,val_polluted,0.9212903225806452,0.9306926616504748
BERT-Linear,bert-linear,test_clean,0.944,0.9437534896428504
BERT-Linear,bert-linear,test_noisy,0.8811111111111111,0.8822073296338651
BERT-Linear,bert-linear,test_polluted,0.7723636363636364,0.8534941448302141
